Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2024-01-01,15.7,50,0,1,0,None,18.2,12.5,54.2,24.0,19.0,16.2
2024-01-02,21.7,47,0,0,0,None,14.9,9.8,38.6,19.6,14.9,11.3
2024-01-03,11.9,60,0,0,0,None,18.9,11.9,53.2,24.7,18.8,24.9
2024-01-04,20.8,55,0,0,0,None,14.5,9.8,36.4,19.9,14.6,12.4
2024-01-05,16.9,43,1,0,0,None,23.1,4.7,37.9,14.9,19.4,12.2
2024-01-06,10.4,58,1,0,1,Weekend,15.9,3.4,32.3,13.3,14.0,13.0
2024-01-07,23.7,69,0,0,1,Weekend,9.7,6.5,33.1,17.3,16.0,8.4
2024-01-08,19.3,68,0,0,0,None,19.3,12.6,56.4,25.4,17.7,15.0
2024-01-09,10.3,55,0,1,0,None,14.0,9.1,38.3,19.2,14.3,19.1
2024-01-10,22.7,54,0,1,0,None,19.4,12.6,54.7,25.3,19.4,16.0
2024-01-11,20.2,67,0,1,0,None,14.6,9.4,36.6,19.9,14.9,11.3
2024-01-12,14.1,61,0,0,0,None,13.6,9.9,38.8,18.2,14.5,19.8
2024-01-13,21.0,40,0,1,1,Weekend,9.6,6.3,31.7,17.5,16.8,8.7
2024-01-14,18.6,62,0,0,1,Weekend,10.0,6.7,31.8,16.6,16.0,8.7
2024-01-15,12.5,40,0,0,0,None,18.6,11.8,56.3,23.6,19.1,23.5
2024-01-16,10.4,62,1,0,0,None,22.9,4.8,38.8,15.0,18.6,18.6
2024-01-17,23.4,64,0,0,0,None,17.8,12.7,53.0,24.9,17.6,15.6
2024-01-18,17.5,62,0,0,0,None,14.2,9.4,39.5,19.3,14.7,11.8
2024-01-19,24.9,48,0,1,0,None,13.6,9.3,39.3,19.6,13.8,12.2
2024-01-20,15.6,42,1,0,1,Weekend,16.5,3.4,32.8,14.3,14.0,8.7
2024-01-21,19.8,65,1,0,1,Weekend,17.2,3.4,33.1,14.4,12.6,8.7
2024-01-22,10.3,51,0,1,0,None,18.3,12.3,53.8,23.6,18.6,24.0
2024-01-23,13.6,43,0,1,0,None,13.8,9.2,38.5,18.4,14.9,19.4
2024-01-24,19.7,60,0,1,0,None,18.2,12.2,56.2,24.6,19.0,16.2
2024-01-25,15.3,65,1,0,0,None,22.7,4.5,38.1,14.8,18.8,11.9
2024-01-26,10.8,47,1,0,1,Republic Day,16.6,3.3,30.4,10.2,13.1,13.1
2024-01-27,19.6,57,0,0,1,Weekend,9.9,6.3,30.8,16.4,16.3,8.7
2024-01-28,11.4,59,0,1,1,Weekend,9.5,6.9,33.1,17.0,17.3,12.9
2024-01-29,24.8,47,0,1,0,None,18.3,12.7,53.0,24.7,17.7,15.2
2024-01-30,23.3,65,0,0,0,None,14.3,9.7,36.8,19.3,14.2,11.5
2024-01-31,22.1,41,0,0,0,None,18.7,12.5,55.0,25.9,19.3,15.8
2024-02-01,14.3,49,0,0,0,None,14.3,9.2,39.1,19.1,13.9,18.1
2024-02-02,19.0,57,1,0,0,None,24.3,4.6,39.1,15.2,18.1,11.3
2024-02-03,21.8,43,1,0,1,Weekend,16.0,6.6,32.9,14.4,12.7,8.5
2024-02-04,13.4,54,0,0,1,Weekend,9.5,6.7,32.3,17.6,17.1,14.0
2024-02-05,19.4,43,0,0,0,None,18.1,11.9,55.8,24.6,19.3,15.8
2024-02-06,20.6,50,1,0,0,None,23.0,9.0,38.3,15.0,18.3,11.9
2024-02-07,22.4,60,1,0,0,None,30.9,12.9,55.5,20.5,23.6,16.0
2024-02-08,22.7,43,0,0,0,None,14.5,9.4,36.2,19.2,14.9,12.1
2024-02-09,12.2,51,1,0,0,None,23.7,4.6,37.5,15.5,19.1,18.1
2024-02-10,15.3,65,1,0,1,Weekend,16.5,3.5,33.0,13.3,14.0,7.9
2024-02-11,16.6,66,0,0,1,Weekend,9.6,6.8,30.9,17.5,17.2,8.3
2024-02-12,16.0,55,0,1,0,None,18.5,12.9,53.7,23.7,18.6,15.6
2024-02-13,20.5,41,0,0,0,None,14.9,9.9,37.7,18.6,14.6,11.7
2024-02-14,22.4,67,0,0,0,None,18.3,12.8,55.2,24.3,18.0,15.0
2024-02-15,13.4,63,0,0,0,None,13.7,9.1,36.7,18.2,13.6,18.6
2024-02-16,21.0,48,0,1,0,None,14.1,9.8,37.2,18.7,14.2,12.5
2024-02-17,23.1,46,0,0,1,Weekend,10.1,6.5,31.4,17.4,16.5,7.9
2024-02-18,11.3,68,0,0,1,Weekend,10.1,6.5,31.8,18.2,16.6,12.6
2024-02-19,24.7,56,0,0,0,None,18.1,12.0,51.6,25.9,18.6,15.8
2024-02-20,15.3,68,0,1,0,None,14.1,9.0,36.4,19.9,13.9,12.5
2024-02-21,21.1,54,0,1,0,None,17.8,12.4,57.2,24.8,18.5,15.1
2024-02-22,15.7,67,1,0,0,None,23.8,5.0,38.0,14.9,19.8,12.0
2024-02-23,21.7,43,1,0,0,None,24.3,9.3,36.1,15.2,18.9,12.5
2024-02-24,20.6,57,1,0,1,Weekend,16.6,6.5,32.8,13.3,13.6,8.6
2024-02-25,13.9,44,0,1,1,Weekend,9.6,6.5,31.3,17.2,17.5,13.6
2024-02-26,12.6,53,1,0,0,None,31.7,6.2,53.6,20.0,24.8,25.2
2024-02-27,19.8,65,1,0,0,None,23.2,4.7,37.9,15.7,19.2,12.3
2024-02-28,10.0,51,0,1,0,None,18.2,12.7,57.1,24.9,18.9,25.6
2024-02-29,19.8,61,0,0,0,None,14.2,9.5,38.6,18.5,15.0,11.6
2024-03-01,43.7,43,0,0,0,None,14.1,22.6,39.6,19.3,13.8,12.3
2024-03-02,38.5,55,0,1,1,Weekend,1.7,16.2,31.5,17.5,6.7,5.1
2024-03-03,41.6,37,1,0,1,Weekend,17.0,16.4,32.7,14.3,13.4,8.5
2024-03-04,34.2,50,1,0,0,None,29.3,30.2,55.6,20.2,25.7,14.7
2024-03-05,31.5,51,0,0,0,None,13.6,24.9,36.2,18.9,13.7,11.3
2024-03-06,31.8,46,0,1,0,None,2.9,31.5,55.0,24.9,12.1,15.4
2024-03-07,44.6,56,0,1,0,None,2.3,24.4,36.9,18.0,9.5,7.5
