Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2022-01-01,16.4,70,0,1,1,Weekend,10.1,6.7,33.1,18.1,15.8,8.0
2022-01-02,23.7,57,0,1,1,Weekend,9.9,6.7,33.2,18.1,17.3,8.4
2022-01-03,15.0,54,0,1,0,None,18.1,12.3,56.7,25.3,18.3,15.9
2022-01-04,15.8,43,1,0,0,None,23.8,4.7,39.4,14.8,18.4,11.4
2022-01-05,22.0,45,0,0,0,None,19.2,11.8,57.0,25.1,18.4,15.0
2022-01-06,12.1,46,1,0,0,None,23.8,4.8,38.0,15.0,18.9,19.0
2022-01-07,24.9,46,0,1,0,None,14.6,9.2,39.6,18.5,13.8,12.4
2022-01-08,12.1,66,0,0,1,Weekend,9.5,6.8,31.5,16.9,17.1,12.8
2022-01-09,14.1,42,0,1,1,Weekend,10.4,6.6,33.2,17.0,17.4,13.1
2022-01-10,13.1,59,1,0,0,None,30.7,6.0,52.6,20.1,25.1,25.8
2022-01-11,11.4,59,0,1,0,None,14.7,9.1,36.7,19.5,14.4,19.7
2022-01-12,24.0,41,0,1,0,None,19.1,12.6,53.6,24.3,18.1,14.8
2022-01-13,17.7,58,0,1,0,None,14.5,9.7,38.2,18.2,14.0,12.2
2022-01-14,12.6,46,1,0,0,None,23.5,5.0,39.7,14.5,19.5,19.9
2022-01-15,15.9,44,0,0,1,Weekend,9.6,6.8,31.6,17.2,17.4,8.2
2022-01-16,14.9,47,0,1,1,Weekend,9.9,6.8,32.0,17.3,17.1,13.2
2022-01-17,20.9,70,1,0,0,None,29.8,12.8,51.7,19.6,23.8,15.4
2022-01-18,22.0,60,0,1,0,None,14.9,9.4,36.1,18.5,13.8,12.3
2022-01-19,14.0,50,0,1,0,None,17.6,12.6,57.0,23.5,18.2,25.8
2022-01-20,24.9,42,0,1,0,None,14.7,9.1,37.7,18.9,14.0,11.6
2022-01-21,21.1,69,0,0,0,None,14.6,9.6,36.6,19.1,14.2,11.3
2022-01-22,22.5,67,0,1,1,Weekend,9.7,6.7,31.6,16.7,17.3,8.0
2022-01-23,13.1,59,1,0,1,Weekend,16.1,3.3,30.3,13.6,13.6,12.9
2022-01-24,18.5,58,0,1,0,None,17.6,12.4,52.7,24.4,18.0,15.3
2022-01-25,21.2,62,0,0,0,None,15.0,9.9,38.1,18.3,13.6,12.5
2022-01-26,22.1,53,0,1,1,Republic Day,10.2,6.6,33.7,13.5,9.7,8.0
2022-01-27,13.4,51,0,1,0,None,13.8,9.6,39.9,18.8,14.7,19.6
2022-01-28,15.4,61,0,1,0,None,14.8,9.9,38.4,18.6,14.8,11.3
2022-01-29,18.3,44,0,0,1,Weekend,10.3,6.6,31.7,18.1,16.1,8.2
2022-01-30,20.5,58,1,0,1,Weekend,16.9,6.5,32.9,13.3,13.1,8.5
2022-01-31,23.8,44,0,0,0,None,19.4,12.9,55.3,24.3,19.0,16.0
2022-02-01,10.5,67,1,0,0,None,23.2,4.9,37.3,15.6,18.9,18.9
2022-02-02,23.3,63,0,0,0,None,18.9,11.7,51.8,24.4,18.3,16.2
2022-02-03,20.7,53,0,1,0,None,13.9,9.7,39.3,19.3,13.8,12.0
2022-02-04,16.8,58,1,0,0,None,24.6,4.8,36.6,15.0,19.6,12.2
2022-02-05,14.5,42,0,0,1,Weekend,10.1,6.7,32.7,18.1,16.2,13.0
2022-02-06,20.8,65,0,0,1,Weekend,10.2,6.5,32.6,17.9,16.3,8.5
2022-02-07,19.2,60,0,1,0,None,18.0,12.5,56.2,25.2,18.6,15.8
2022-02-08,17.4,70,1,0,0,None,24.9,4.6,37.9,14.4,19.0,11.9
2022-02-09,23.8,48,1,0,0,None,30.8,12.9,56.4,20.7,25.3,14.8
2022-02-10,23.8,57,0,1,0,None,15.0,9.2,39.9,19.3,13.8,11.4
2022-02-11,14.5,59,0,0,0,None,15.0,9.4,37.0,18.2,14.7,19.2
2022-02-12,20.7,59,0,0,1,Weekend,9.9,6.3,33.5,16.7,17.2,8.0
2022-02-13,21.5,50,1,0,1,Weekend,17.1,6.6,33.1,14.5,13.5,8.0
2022-02-14,11.6,59,0,1,0,None,18.8,12.0,55.7,25.3,19.5,23.5
2022-02-15,21.3,42,0,0,0,None,14.6,10.0,38.5,18.7,13.5,12.1
2022-02-16,13.6,53,1,0,0,None,31.3,6.0,55.2,19.4,24.5,23.6
2022-02-17,10.7,52,0,0,0,None,14.5,9.1,38.8,18.8,14.8,19.7
2022-02-18,16.4,66,0,1,0,None,14.3,9.9,39.4,18.3,14.7,12.4
2022-02-19,15.3,45,0,1,1,Weekend,9.7,6.8,33.1,17.9,16.9,8.1
2022-02-20,17.0,60,0,1,1,Weekend,9.5,6.4,33.2,17.9,17.0,8.4
2022-02-21,23.4,47,0,0,0,None,18.7,12.6,51.9,25.8,18.6,15.4
2022-02-22,19.7,43,0,1,0,None,13.9,9.9,38.5,18.5,13.6,11.6
2022-02-23,16.1,70,0,1,0,None,19.1,12.2,54.6,24.8,19.5,16.2
2022-02-24,23.4,48,0,1,0,None,14.0,9.1,38.1,19.9,14.8,12.4
2022-02-25,14.9,45,0,1,0,None,14.9,9.4,39.2,18.2,14.6,19.5
2022-02-26,16.6,53,1,0,1,Weekend,15.8,3.3,33.0,14.4,12.8,8.6
2022-02-27,23.2,57,1,0,1,Weekend,17.5,6.7,32.2,14.0,13.6,8.7
2022-02-28,21.6,47,1,0,0,None,30.7,12.8,57.1,19.1,23.6,14.8
2022-03-01,34.4,36,1,0,1,Maha Shivaratri,17.2,16.6,30.4,10.7,13.8,8.7
2022-03-02,36.9,53,0,1,0,None,3.1,29.3,56.9,23.9,12.2,9.0
2022-03-03,41.2,53,0,0,0,None,13.7,24.1,39.8,19.9,14.5,11.4
2022-03-04,44.3,37,1,0,0,None,24.6,24.1,39.7,15.6,19.6,12.2
2022-03-05,35.9,52,1,0,1,Weekend,16.3,16.8,30.5,13.4,12.7,8.0
2022-03-06,33.1,36,0,1,1,Weekend,1.7,17.0,30.6,17.4,6.3,8.2
2022-03-07,40.4,59,1,0,0,None,30.2,32.4,55.1,20.1,25.2,16.0
2022-03-08,33.5,32,0,0,0,None,15.0,23.4,38.3,18.0,14.5,12.2
2022-03-09,37.2,31,0,0,0,None,18.1,31.6,53.9,24.0,18.1,15.8
2022-03-10,37.9,52,0,0,0,None,14.1,24.2,37.1,18.5,14.6,11.9
2022-03-11,34.6,38,0,0,0,None,15.0,24.3,37.8,19.1,13.8,12.3
2022-03-12,41.1,48,0,1,1,Weekend,1.7,17.0,31.5,18.2,6.7,4.8
2022-03-13,37.1,48,1,0,1,Weekend,16.3,15.9,33.1,13.2,13.1,8.6
2022-03-14,38.1,39,0,0,0,None,19.2,32.1,52.4,25.6,19.4,15.4
2022-03-15,31.5,42,1,0,0,None,23.9,23.4,38.6,14.7,19.3,11.4
2022-03-16,33.0,42,0,0,0,None,18.6,31.9,56.6,25.2,18.0,15.1
2022-03-17,43.2,43,1,0,0,None,24.1,23.9,38.4,15.1,19.9,11.7
2022-03-18,43.1,41,0,1,0,None,2.4,22.9,37.9,19.1,9.8,7.1
2022-03-19,36.9,56,1,0,1,Weekend,16.2,16.4,30.6,14.1,13.0,8.6
2022-03-20,39.6,48,0,1,1,Weekend,1.7,16.1,32.2,17.0,6.5,4.9
2022-03-21,41.3,33,0,1,0,None,2.9,31.2,52.1,24.6,12.9,9.0
2022-03-22,34.5,39,0,0,0,None,14.2,24.5,38.9,18.2,14.2,12.0
2022-03-23,37.1,38,1,0,0,None,31.0,30.6,54.3,19.0,25.1,16.1
2022-03-24,30.9,58,0,0,0,None,14.1,23.0,39.8,18.3,14.9,11.7
2022-03-25,34.2,57,0,1,0,None,2.4,24.1,39.5,18.6,9.6,12.4
2022-03-26,34.3,42,0,0,1,Weekend,9.6,16.3,32.3,18.1,16.9,8.4
2022-03-27,41.8,36,0,1,1,Weekend,1.7,16.0,32.4,18.1,6.8,4.8
2022-03-28,32.3,48,1,0,0,None,31.8,31.7,55.5,19.3,25.7,14.6
2022-03-29,33.0,38,0,1,0,None,2.3,22.8,37.7,19.2,9.9,11.8
2022-03-30,32.8,59,0,0,0,None,17.6,31.9,54.0,24.8,18.6,16.2
2022-03-31,38.4,51,0,1,0,None,2.4,23.0,37.1,19.7,9.7,7.3
2022-04-01,40.5,47,0,0,0,None,14.3,23.5,36.6,18.3,14.1,12.1
2022-04-02,32.5,36,0,1,1,Weekend,1.6,16.5,31.9,16.9,6.4,8.3
2022-04-03,42.9,39,0,1,1,Weekend,1.7,16.4,33.4,17.0,7.0,4.8
2022-04-04,39.3,50,0,1,0,None,3.0,32.4,53.5,25.2,11.8,9.5
2022-04-05,32.6,40,1,0,0,None,23.9,23.0,36.7,14.9,19.4,11.8
2022-04-06,38.5,47,0,0,0,None,18.3,29.4,56.8,23.5,18.3,14.6
2022-04-07,40.1,36,1,0,0,None,24.0,22.6,36.2,15.2,19.9,12.3
2022-04-08,31.4,36,0,0,0,None,14.2,23.2,39.9,19.1,14.1,12.0
2022-04-09,35.6,37,0,0,1,Weekend,10.0,16.5,32.0,17.8,17.1,8.6
2022-04-10,37.0,34,0,0,1,Weekend,9.5,16.7,32.1,16.8,15.9,8.1
2022-04-11,41.1,52,0,1,0,None,3.2,30.2,51.5,23.4,11.8,9.6
2022-04-12,30.2,45,0,0,0,None,14.3,23.9,37.2,19.3,14.2,11.5
2022-04-13,38.1,57,1,0,0,None,30.8,31.4,52.4,19.5,24.3,15.8
2022-04-14,30.4,49,1,0,1,Mahavir Jayanti,16.6,16.9,30.7,11.1,13.2,8.2
2022-04-15,30.7,59,1,0,1,Good Friday,16.4,16.7,31.2,10.5,13.3,8.1
2022-04-16,32.1,50,0,0,1,Weekend,10.1,16.5,31.1,17.9,16.2,8.7
2022-04-17,42.1,48,0,0,1,Weekend,9.8,17.1,30.4,17.0,16.0,8.1
2022-04-18,39.3,36,1,0,0,None,30.1,32.1,55.7,19.2,24.2,15.5
2022-04-19,41.9,41,0,1,0,None,2.4,22.5,38.4,18.2,9.6,7.0
2022-04-20,43.4,47,0,1,0,None,3.0,31.8,55.4,25.2,12.9,9.2
2022-04-21,33.5,51,1,0,0,None,23.3,22.9,36.5,15.9,18.1,11.7
2022-04-22,35.6,45,0,0,0,None,13.9,23.8,39.6,20.0,14.4,12.4
2022-04-23,31.2,35,1,0,1,Weekend,17.2,15.8,32.7,13.5,12.7,8.4
2022-04-24,44.8,44,1,0,1,Weekend,16.3,17.1,31.9,14.2,13.6,8.0
2022-04-25,38.1,59,0,1,0,None,3.1,32.0,56.8,25.5,12.0,9.2
2022-04-26,42.3,59,0,1,0,None,2.3,23.3,39.6,19.4,10.0,7.3
2022-04-27,40.4,52,1,0,0,None,31.4,31.8,56.9,20.1,24.4,16.1
2022-04-28,32.2,58,0,1,0,None,2.3,23.4,38.6,18.7,9.8,11.7
2022-04-29,37.8,38,0,1,0,None,2.4,24.7,37.6,19.4,9.5,7.3
2022-04-30,39.1,50,0,0,1,Weekend,10.3,16.3,31.7,17.2,17.1,8.5
2022-05-01,40.5,44,0,0,1,Weekend,10.2,17.0,30.7,18.2,16.1,8.6
2022-05-02,38.6,59,0,0,0,None,19.4,30.2,55.1,23.5,17.7,16.1
2022-05-03,35.9,37,0,1,1,Id-ul-Fitr,1.6,15.8,32.1,13.7,6.6,5.2
