Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2022-01-01,17.9,46,0,1,1,Weekend,10.2,6.4,33.3,17.9,16.4,8.5
2022-01-02,24.8,59,0,1,1,Weekend,9.7,6.3,31.7,18.0,16.7,8.2
2022-01-03,13.4,58,1,0,0,None,32.4,6.3,52.7,20.6,25.3,23.7
2022-01-04,14.8,52,0,0,0,None,13.6,9.3,39.5,19.5,14.9,18.4
2022-01-05,11.6,66,0,0,0,None,18.6,12.5,55.1,24.9,18.5,25.9
2022-01-06,24.1,43,0,1,0,None,14.7,10.0,37.4,18.9,13.7,11.8
2022-01-07,20.5,49,1,0,0,None,23.0,9.1,36.7,14.5,19.3,12.3
2022-01-08,21.6,63,0,0,1,Weekend,9.7,6.5,31.1,17.5,16.2,8.0
2022-01-09,10.3,53,1,0,1,Weekend,17.2,3.2,30.5,13.4,13.4,13.4
2022-01-10,12.5,51,0,1,0,None,19.1,11.7,54.0,24.8,18.2,24.0
2022-01-11,20.7,59,0,1,0,None,13.6,9.9,36.4,18.1,13.9,12.2
2022-01-12,19.8,43,1,0,0,None,31.0,6.2,56.7,19.7,25.0,14.6
2022-01-13,17.9,70,0,1,0,None,14.0,9.6,39.8,19.3,15.0,12.0
2022-01-14,13.1,66,1,0,0,None,23.3,4.8,37.5,16.0,18.8,19.9
2022-01-15,11.3,44,0,1,1,Weekend,10.0,6.4,32.0,17.6,15.9,13.1
2022-01-16,22.6,51,0,1,1,Weekend,10.0,6.6,32.2,17.4,16.4,8.4
2022-01-17,13.7,55,0,0,0,None,19.3,11.7,52.5,24.2,19.3,25.8
2022-01-18,20.3,56,1,0,0,None,22.8,9.3,38.3,15.8,19.8,11.5
2022-01-19,11.9,64,0,0,0,None,18.5,12.2,54.0,24.9,18.3,24.2
2022-01-20,24.7,50,0,1,0,None,14.5,9.3,37.4,18.1,13.6,11.9
2022-01-21,18.2,65,0,0,0,None,14.6,9.7,36.7,18.8,14.1,11.3
2022-01-22,24.4,45,0,0,1,Weekend,9.9,6.6,32.4,17.5,16.8,8.7
2022-01-23,19.5,58,0,0,1,Weekend,9.6,6.5,33.2,18.0,16.4,8.6
2022-01-24,18.8,42,0,0,0,None,18.0,12.7,55.9,25.2,17.9,15.9
2022-01-25,14.4,60,0,1,0,None,13.6,9.2,38.0,18.7,13.7,19.6
2022-01-26,19.4,70,1,0,1,Republic Day,16.0,3.3,33.4,10.9,13.7,8.6
2022-01-27,21.2,59,0,1,0,None,15.0,9.7,36.1,19.4,13.6,12.5
2022-01-28,16.7,67,1,0,0,None,23.8,4.8,39.5,15.3,18.9,12.0
2022-01-29,14.9,68,0,1,1,Weekend,10.2,6.4,33.3,17.2,16.7,12.8
2022-01-30,14.7,68,0,0,1,Weekend,10.4,6.8,32.4,18.1,16.1,12.8
2022-01-31,23.1,67,0,1,0,None,18.6,12.0,55.6,24.0,19.5,15.3
2022-02-01,21.3,40,0,1,0,None,14.4,9.3,38.8,19.7,14.2,11.8
2022-02-02,22.4,48,0,1,0,None,18.0,12.1,54.6,25.9,18.4,16.2
2022-02-03,13.5,65,0,0,0,None,13.7,9.9,39.2,18.8,14.6,19.5
2022-02-04,16.0,47,1,0,0,None,24.8,4.5,38.0,15.3,19.1,11.6
2022-02-05,20.2,56,0,0,1,Weekend,10.3,6.6,32.8,16.4,16.2,8.4
2022-02-06,14.3,49,0,0,1,Weekend,9.9,6.5,32.5,16.5,17.4,12.8
2022-02-07,14.8,43,1,0,0,None,32.5,5.9,54.3,20.6,23.7,24.8
2022-02-08,24.4,53,0,0,0,None,14.9,9.8,36.7,18.1,14.8,11.4
2022-02-09,12.8,44,1,0,0,None,30.1,6.4,56.3,20.1,23.6,23.6
2022-02-10,16.0,57,0,0,0,None,14.6,9.3,36.7,18.0,14.9,11.8
2022-02-11,17.9,56,0,1,0,None,14.7,9.0,36.7,18.5,14.4,12.5
2022-02-12,22.6,55,0,1,1,Weekend,10.5,6.9,32.2,17.1,17.2,8.5
2022-02-13,21.7,47,0,0,1,Weekend,9.5,6.8,31.0,18.2,17.3,8.7
2022-02-14,11.9,46,1,0,0,None,29.4,6.5,54.7,19.5,24.4,25.9
2022-02-15,10.3,55,0,1,0,None,13.9,9.9,38.4,19.3,14.1,18.6
2022-02-16,18.9,59,0,1,0,None,19.3,12.1,56.6,25.8,18.6,14.9
2022-02-17,17.2,42,0,0,0,None,14.0,9.4,38.3,18.9,14.4,11.9
2022-02-18,18.5,60,1,0,0,None,22.6,4.7,38.4,15.8,18.6,11.3
2022-02-19,18.7,41,0,0,1,Weekend,9.8,6.8,31.5,16.7,15.9,8.3
2022-02-20,14.2,62,0,1,1,Weekend,10.0,6.9,31.3,17.7,16.3,13.7
2022-02-21,16.1,47,0,1,0,None,19.4,12.9,53.5,25.2,19.2,14.9
2022-02-22,24.3,52,0,0,0,None,14.2,9.3,37.4,19.9,13.5,11.6
2022-02-23,17.2,49,0,1,0,None,19.4,13.0,53.9,24.6,19.0,14.7
2022-02-24,21.6,48,0,0,0,None,14.4,9.1,38.3,19.9,13.9,12.4
2022-02-25,24.4,47,0,1,0,None,13.7,9.4,38.5,18.8,14.3,11.6
2022-02-26,11.2,45,0,0,1,Weekend,9.6,6.6,30.7,17.5,17.4,13.9
2022-02-27,14.3,44,0,0,1,Weekend,10.4,6.5,31.9,17.1,17.2,12.8
2022-02-28,16.3,41,0,1,0,None,18.3,12.1,51.8,23.5,18.7,15.4
2022-03-01,34.6,50,1,0,1,Maha Shivaratri,16.1,16.6,32.2,10.5,12.8,8.6
2022-03-02,31.4,41,0,0,0,None,18.8,32.2,52.3,25.9,18.2,16.1
2022-03-03,31.4,47,0,0,0,None,13.8,23.7,39.0,19.8,14.5,11.3
2022-03-04,35.4,39,1,0,0,None,24.4,24.4,39.2,14.7,18.6,11.4
2022-03-05,37.8,33,1,0,1,Weekend,16.9,16.7,31.4,14.3,13.8,8.6
2022-03-06,36.5,56,1,0,1,Weekend,17.1,16.4,32.7,13.4,13.0,8.0
2022-03-07,32.5,35,0,0,0,None,18.1,30.5,53.6,25.6,18.8,14.7
2022-03-08,30.6,53,1,0,0,None,23.6,22.7,39.0,14.6,19.0,12.4
2022-03-09,43.3,42,1,0,0,None,31.9,32.1,56.9,19.1,23.5,16.2
2022-03-10,32.5,44,0,1,0,None,2.4,24.1,37.7,19.1,9.4,11.4
2022-03-11,38.2,60,1,0,0,None,24.0,23.3,39.1,14.6,18.3,11.6
2022-03-12,38.3,32,0,0,1,Weekend,10.2,15.8,31.2,16.5,16.7,7.9
2022-03-13,39.8,54,0,1,1,Weekend,1.7,17.0,32.0,17.7,6.9,5.1
2022-03-14,39.5,35,0,1,0,None,2.9,29.6,56.0,24.9,12.3,9.5
2022-03-15,30.1,60,0,1,0,None,2.3,25.0,38.7,18.6,9.0,12.2
2022-03-16,30.8,46,0,0,0,None,19.3,31.4,53.6,24.3,18.6,16.1
2022-03-17,37.4,54,0,0,0,None,13.7,23.5,36.5,18.3,14.2,11.9
2022-03-18,34.5,35,0,0,0,None,13.8,23.0,38.9,18.6,14.3,12.2
2022-03-19,45.0,41,0,1,1,Weekend,1.6,15.8,32.7,18.1,6.3,5.1
2022-03-20,41.6,39,0,1,1,Weekend,1.7,17.5,31.9,16.5,6.6,5.2
2022-03-21,41.1,57,0,0,0,None,18.8,29.3,53.5,26.0,19.1,16.1
2022-03-22,36.7,34,0,1,0,None,2.4,24.6,38.8,19.4,9.3,6.9
2022-03-23,32.8,48,0,0,0,None,18.3,31.6,54.5,25.1,17.6,15.3
2022-03-24,42.9,60,0,1,0,None,2.4,22.8,38.9,19.9,9.6,6.9
2022-03-25,42.2,34,1,0,0,None,24.3,23.6,36.2,15.2,19.1,11.3
2022-03-26,44.9,36,0,1,1,Weekend,1.7,16.5,30.5,16.8,6.9,4.9
2022-03-27,40.4,36,0,1,1,Weekend,1.7,16.2,32.7,18.1,6.4,4.8
2022-03-28,39.3,41,0,0,0,None,18.3,29.8,54.1,24.5,17.9,15.3
2022-03-29,39.6,54,0,1,0,None,2.3,23.3,39.5,19.9,9.8,7.4
2022-03-30,37.5,38,0,0,0,None,19.1,31.8,56.1,24.7,18.7,16.2
2022-03-31,31.6,57,0,1,0,None,2.4,23.6,38.0,19.7,9.9,11.5
2022-04-01,36.4,31,0,0,0,None,14.2,22.7,36.6,18.9,14.5,12.3
2022-04-02,36.4,38,0,0,1,Weekend,9.6,17.2,31.5,17.8,16.5,8.7
2022-04-03,31.9,35,0,1,1,Weekend,1.7,16.5,31.0,17.7,6.9,8.4
2022-04-04,40.6,47,1,0,0,None,31.7,30.5,55.1,19.9,24.6,15.0
2022-04-05,30.2,34,0,1,0,None,2.4,23.5,38.6,18.3,9.1,12.5
2022-04-06,35.1,39,0,1,0,None,3.0,32.1,55.6,24.9,11.8,9.4
2022-04-07,35.8,48,0,1,0,None,2.3,25.0,38.3,18.9,9.4,6.9
2022-04-08,40.3,35,0,0,0,None,14.8,24.6,38.2,20.0,14.5,12.3
2022-04-09,34.5,44,0,1,1,Weekend,1.6,16.6,33.4,16.5,6.9,7.9
2022-04-10,31.8,31,1,0,1,Weekend,16.3,16.0,31.9,14.5,13.1,8.0
2022-04-11,34.7,42,0,0,0,None,18.4,32.2,52.3,24.2,18.3,15.4
2022-04-12,32.5,57,0,1,0,None,2.4,22.5,38.3,18.9,10.0,12.4
2022-04-13,37.6,38,0,1,0,None,3.2,30.9,54.9,25.6,11.9,9.2
2022-04-14,32.8,41,0,0,1,Mahavir Jayanti,10.2,16.0,31.3,13.4,9.8,8.6
2022-04-15,42.7,46,0,0,1,Good Friday,10.3,17.2,31.6,14.0,9.8,8.6
2022-04-16,33.3,54,1,0,1,Weekend,16.6,16.9,31.3,14.5,13.4,8.7
2022-04-17,41.7,31,0,0,1,Weekend,10.5,17.1,31.2,16.8,16.8,8.0
2022-04-18,35.2,37,0,0,0,None,18.2,29.6,55.9,24.7,18.0,15.0
