Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2023-01-01,16.8,40,1,0,1,Weekend,16.7,3.4,31.8,14.2,13.4,8.2
2023-01-02,24.9,51,0,0,0,None,18.3,11.7,51.8,25.9,17.8,16.0
2023-01-03,13.3,63,0,0,0,None,13.6,9.2,38.7,19.3,14.8,19.8
2023-01-04,17.2,69,0,0,0,None,18.4,12.1,56.2,23.7,19.4,15.7
2023-01-05,20.3,43,1,0,0,None,23.2,9.8,36.9,15.7,19.2,12.3
2023-01-06,13.0,40,1,0,0,None,23.6,4.5,38.8,15.2,19.8,18.6
2023-01-07,10.7,60,0,1,1,Weekend,9.5,6.3,32.7,17.9,15.9,13.2
2023-01-08,11.1,69,0,0,1,Weekend,9.9,6.9,31.4,17.3,15.9,13.0
2023-01-09,23.2,59,0,0,0,None,18.6,11.8,56.6,24.1,19.5,15.1
2023-01-10,11.2,54,0,0,0,None,14.8,9.9,38.0,18.2,14.5,19.7
2023-01-11,24.4,59,1,0,0,None,29.9,11.8,52.3,18.7,23.9,16.2
2023-01-12,10.7,45,0,0,0,None,14.4,9.7,38.0,18.1,14.5,18.6
2023-01-13,14.9,44,0,1,0,None,14.0,9.8,39.8,18.5,14.1,19.5
2023-01-14,22.0,48,1,0,1,Weekend,16.5,6.5,33.1,13.8,13.6,8.7
2023-01-15,18.0,44,0,0,1,Weekend,10.4,6.6,31.1,16.4,16.7,7.9
2023-01-16,19.3,68,0,0,0,None,18.4,12.4,52.5,24.3,18.9,15.5
2023-01-17,23.5,53,0,0,0,None,13.7,9.8,36.2,18.5,14.3,12.4
2023-01-18,22.5,55,0,1,0,None,18.7,12.8,51.8,25.4,18.5,14.8
2023-01-19,17.7,54,0,1,0,None,13.9,9.9,39.8,18.1,14.3,11.8
2023-01-20,23.5,61,0,0,0,None,14.9,9.3,38.8,18.1,13.6,11.7
2023-01-21,15.4,50,0,1,1,Weekend,9.8,6.9,33.1,17.2,16.8,8.7
2023-01-22,10.7,49,1,0,1,Weekend,15.9,3.3,32.4,14.1,13.8,13.7
2023-01-23,24.4,50,0,0,0,None,17.8,12.8,56.4,24.6,18.5,15.1
2023-01-24,22.0,67,1,0,0,None,23.0,9.9,38.6,14.6,18.9,11.7
2023-01-25,13.8,50,1,0,0,None,31.5,6.3,51.5,20.8,24.8,25.4
2023-01-26,17.5,66,0,1,1,Republic Day,9.7,6.7,32.6,12.8,10.1,8.0
2023-01-27,13.9,57,0,0,0,None,14.6,9.6,36.4,18.3,14.5,19.9
2023-01-28,22.0,58,0,1,1,Weekend,9.5,6.6,33.0,16.5,16.3,8.7
2023-01-29,13.9,41,0,1,1,Weekend,10.4,6.4,33.2,16.6,16.4,13.7
2023-01-30,22.5,53,0,1,0,None,18.3,12.5,57.1,25.1,19.0,15.9
2023-01-31,10.7,67,0,1,0,None,14.9,9.4,37.3,18.8,13.6,19.0
2023-02-01,10.2,40,0,0,0,None,17.6,12.0,53.7,24.9,17.9,24.9
2023-02-02,18.5,55,1,0,0,None,24.8,4.6,36.7,15.8,18.8,12.0
2023-02-03,23.4,62,0,0,0,None,14.6,9.2,39.6,18.8,14.2,12.4
2023-02-04,18.4,47,0,1,1,Weekend,10.1,6.5,31.5,17.2,15.9,8.0
2023-02-05,17.9,44,0,0,1,Weekend,10.2,6.5,31.4,17.4,17.3,8.4
2023-02-06,21.4,70,0,0,0,None,17.6,11.8,56.5,25.7,18.4,16.1
2023-02-07,12.5,54,0,0,0,None,14.2,9.7,37.3,18.0,14.1,19.8
2023-02-08,25.0,41,0,1,0,None,18.2,12.4,52.2,23.6,19.4,15.4
2023-02-09,23.4,47,0,0,0,None,14.6,9.9,38.0,18.8,14.6,11.9
2023-02-10,17.5,49,0,1,0,None,14.2,9.8,37.7,19.7,13.6,12.2
2023-02-11,20.1,55,0,0,1,Weekend,10.4,7.0,30.7,16.8,17.0,8.3
2023-02-12,13.0,68,0,0,1,Weekend,10.3,6.6,33.0,17.3,17.1,13.7
2023-02-13,21.1,60,1,0,0,None,30.4,12.6,52.5,20.5,24.3,14.7
2023-02-14,12.0,43,0,1,0,None,13.8,9.5,37.0,18.8,13.9,18.8
2023-02-15,10.3,60,1,0,0,None,30.8,6.0,51.6,20.2,25.0,25.8
2023-02-16,21.6,63,0,0,0,None,14.1,9.9,36.3,18.9,13.6,11.4
2023-02-17,20.4,42,1,0,0,None,12.2,4.7,23.6,7.8,9.2,5.6
2023-02-18,18.2,64,0,1,1,Maha Shivaratri,7.0,4.9,23.4,11.9,12.0,6.1
2023-02-19,17.1,58,0,0,1,Weekend,10.4,6.3,30.4,17.0,17.4,8.4
2023-02-20,22.0,70,0,1,0,None,19.1,12.9,51.6,23.5,18.1,14.8
2023-02-21,20.4,53,1,0,0,None,24.1,9.8,36.7,15.9,18.6,11.6
2023-02-22,24.1,48,0,0,0,None,19.4,12.7,53.4,25.2,18.9,15.8
2023-02-23,23.8,68,0,0,0,None,13.9,9.3,38.0,19.1,14.9,12.0
2023-02-24,18.6,59,1,0,0,None,23.2,4.9,36.3,15.5,19.2,11.8
2023-02-25,12.9,69,1,0,1,Weekend,16.0,3.2,33.4,14.1,13.8,13.8
2023-02-26,24.9,61,0,1,1,Weekend,9.6,7.0,31.8,18.1,16.9,7.9
2023-02-27,18.3,64,1,0,0,None,29.7,6.2,52.6,19.5,25.7,15.9
2023-02-28,13.4,69,0,1,0,None,13.5,9.3,38.6,18.3,15.0,19.5
2023-03-01,38.6,54,1,0,0,None,32.2,30.5,53.4,19.9,25.9,15.2
2023-03-02,42.7,51,0,1,0,None,2.3,24.0,36.8,18.3,9.3,7.0
2023-03-03,41.1,33,1,0,0,None,24.7,23.4,39.7,14.7,18.8,12.0
2023-03-04,44.8,50,1,0,1,Weekend,15.8,16.5,31.0,13.4,13.8,8.6
2023-03-05,30.9,35,0,0,1,Weekend,9.8,16.7,33.1,16.6,16.5,8.7
2023-03-06,41.8,54,1,0,0,None,30.1,30.4,55.3,20.6,24.7,16.1
2023-03-07,41.5,40,0,0,0,None,14.2,22.6,37.0,19.2,14.8,12.3
2023-03-08,38.9,52,1,0,0,None,30.3,29.8,53.4,19.4,23.9,15.9
2023-03-09,39.6,31,0,0,0,None,15.0,23.8,38.8,19.2,14.3,11.5
2023-03-10,44.6,33,1,0,0,None,24.9,22.7,38.5,15.0,19.8,12.2
2023-03-11,39.2,36,1,0,1,Weekend,17.5,16.8,33.3,13.2,12.6,8.5
2023-03-12,40.8,39,1,0,1,Weekend,16.6,16.1,31.1,13.7,13.7,8.5
2023-03-13,36.0,60,0,0,0,None,18.9,30.6,53.4,25.6,19.3,15.0
2023-03-14,33.5,55,1,0,0,None,22.7,24.9,38.8,14.4,19.1,12.4
2023-03-15,36.2,35,0,1,0,None,3.1,31.3,57.2,24.0,12.2,9.5
