Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main_Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2023-01-01,14.9,61,1,0,1,Weekend,16.6,3.2,33.5,13.4,13.5,13.1
2023-01-02,11.8,47,1,0,0,None,30.0,6.0,54.7,19.0,23.5,24.4
2023-01-03,22.4,41,0,0,0,None,14.1,9.1,39.9,19.9,14.1,11.4
2023-01-04,15.8,51,1,0,0,None,31.5,6.2,54.1,19.9,23.9,15.8
2023-01-05,19.8,66,0,0,0,None,14.1,9.3,39.6,18.7,14.8,12.4
2023-01-06,12.9,66,0,1,0,None,14.1,9.8,37.9,18.1,14.9,19.0
2023-01-07,24.7,43,0,1,1,Weekend,9.8,6.4,31.6,18.1,17.2,8.3
2023-01-08,16.4,51,0,0,1,Weekend,10.1,6.7,31.0,17.1,17.3,8.1
2023-01-09,10.9,65,1,0,0,None,31.3,6.2,57.1,19.2,24.5,25.0
2023-01-10,10.6,53,0,1,0,None,14.1,9.5,38.4,19.6,13.8,19.3
2023-01-11,22.0,40,0,1,0,None,18.2,11.7,54.5,25.0,19.0,14.8
2023-01-12,23.4,46,1,0,0,None,24.0,9.1,36.9,15.9,19.9,11.7
2023-01-13,11.8,41,0,1,0,None,14.7,9.7,38.7,19.4,14.4,19.4
2023-01-14,19.1,47,1,0,1,Weekend,17.4,3.5,32.0,13.3,13.1,8.1
2023-01-15,10.2,61,0,0,1,Weekend,10.3,6.3,32.5,16.5,16.1,13.7
2023-01-16,16.0,55,0,1,0,None,19.4,11.9,54.7,25.7,18.0,16.2
2023-01-17,16.9,67,0,0,0,None,14.8,9.2,37.5,20.0,13.6,11.8
2023-01-18,16.6,65,1,0,0,None,30.8,6.0,51.8,19.9,24.5,15.4
2023-01-19,11.8,66,0,0,0,None,13.8,9.9,38.6,19.1,14.6,19.0
2023-01-20,11.2,66,1,0,0,None,23.0,4.5,38.9,15.3,18.7,18.3
2023-01-21,19.4,63,0,1,1,Weekend,10.2,6.5,32.1,16.4,17.2,8.2
2023-01-22,21.0,65,0,0,1,Weekend,9.5,6.8,31.6,18.0,16.1,7.9
2023-01-23,21.0,42,0,1,0,None,19.5,12.7,51.8,24.3,19.4,15.6
2023-01-24,17.0,61,0,1,0,None,14.5,9.8,38.5,18.5,14.7,12.4
2023-01-25,21.9,43,0,1,0,None,19.3,12.3,52.1,24.5,18.5,14.7
2023-01-26,15.7,53,1,0,1,Republic Day,16.3,3.4,31.0,10.5,12.7,7.9
2023-01-27,13.0,46,1,0,0,None,23.3,4.7,38.9,15.5,18.9,18.9
2023-01-28,18.5,53,0,1,1,Weekend,10.2,6.6,33.6,17.7,15.9,8.3
2023-01-29,14.4,63,0,1,1,Weekend,10.0,6.9,30.9,16.7,17.4,13.6
2023-01-30,17.1,54,1,0,0,None,31.0,6.4,53.1,20.2,24.3,15.0
2023-01-31,15.0,51,0,1,0,None,13.5,9.2,37.9,18.1,14.2,11.3
2023-02-01,11.7,48,1,0,0,None,30.5,6.1,53.6,20.4,23.9,25.8
2023-02-02,18.8,55,0,0,0,None,14.0,9.8,39.4,18.1,14.4,11.3
2023-02-03,12.7,50,0,1,0,None,13.9,9.1,37.2,19.0,14.6,18.7
2023-02-04,11.9,41,0,1,1,Weekend,10.4,6.4,31.0,17.7,17.1,13.5
2023-02-05,12.0,48,1,0,1,Weekend,16.3,3.2,30.9,13.4,14.0,12.9
2023-02-06,11.0,70,0,1,0,None,18.6,12.1,51.6,26.0,19.1,26.0
