Date,Temperature,Humidity,Is_Raining,Is_Sunny,Food_Category,Is_Holiday,Holiday_Name,Food_Waste_kg
2021-01-01,6.1,93,1,0,Beverage,1,New Year's Day,5.3
2021-01-02,1.8,74,0,1,Soup,1,Weekend,7.5
2021-01-03,4.0,93,1,0,Appetizer,1,Weekend,2.4
2021-01-04,1.8,80,0,0,Soup,0,None,19.8
2021-01-05,4.5,93,0,1,Dessert,0,None,14.2
2021-01-06,1.9,76,1,0,Appetizer,0,None,12.5
2021-01-07,1.8,72,1,0,Dessert,0,None,13.1
2021-01-08,4.6,90,0,1,Dessert,0,None,13.4
2021-01-09,6.0,80,1,0,Main Course,1,Weekend,6.0
2021-01-10,0.5,82,0,1,Dessert,1,Weekend,2.3
2021-01-11,1.6,77,1,0,Salad,0,None,19.2
2021-01-12,4.6,91,0,0,Soup,0,None,11.5
2021-01-13,6.7,92,0,1,Beverage,0,None,22.1
2021-01-14,5.7,93,1,0,Main Course,0,None,6.0
2021-01-15,3.3,95,0,0,Appetizer,0,None,11.1
2021-01-16,6.1,72,0,1,Main Course,1,Weekend,3.5
2021-01-17,6.4,73,1,0,Main Course,1,Weekend,3.3
2021-01-18,1.9,75,0,0,Dessert,0,None,12.9
2021-01-19,6.1,76,0,0,Appetizer,0,None,10.6
2021-01-20,6.2,70,0,1,Main Course,0,None,23.8
2021-01-21,4.7,79,0,0,Main Course,0,None,10.6
2021-01-22,3.3,86,0,1,Main Course,0,None,11.5
2021-01-23,5.2,81,0,1,Main Course,1,Weekend,5.9
2021-01-24,6.2,71,0,0,Dessert,1,Weekend,2.6
2021-01-25,3.2,78,0,0,Main Course,0,None,15.9
2021-01-26,0.5,83,0,0,Main Course,0,None,10.1
2021-01-27,6.1,72,1,0,Soup,0,None,15.2
2021-01-28,0.7,86,1,0,Soup,0,None,5.7
2021-01-29,2.1,89,1,0,Beverage,0,None,8.2
2021-01-30,0.1,75,1,0,Beverage,1,Weekend,7.0
2021-01-31,2.1,85,0,1,Dessert,1,Weekend,4.8
2021-02-01,2.9,87,0,1,Soup,0,None,19.0
2021-02-02,4.0,70,0,1,Dessert,0,None,6.4
2021-02-03,5.3,71,0,0,Main Course,0,None,17.5
2021-02-04,1.7,85,0,1,Beverage,0,None,6.0
2021-02-05,2.4,83,1,0,Soup,0,None,11.8
2021-02-06,3.3,85,1,0,Salad,1,Weekend,6.5
2021-02-07,5.5,70,1,0,Main Course,1,Weekend,7.8
2021-02-08,6.6,75,0,1,Beverage,0,None,22.8
2021-02-09,1.6,86,1,0,Soup,0,None,8.1
2021-02-10,0.4,82,1,0,Dessert,0,None,14.0
2021-02-11,4.0,81,0,1,Salad,0,None,6.0
2021-02-12,6.1,86,0,1,Appetizer,0,None,9.2
2021-02-13,2.2,70,0,0,Beverage,1,Weekend,5.1
2021-02-14,0.1,93,1,0,Dessert,1,Weekend,7.7
2021-02-15,0.7,80,1,0,Soup,0,None,11.9
2021-02-16,4.9,91,0,0,Dessert,0,None,13.1
2021-02-17,4.0,87,0,1,Salad,0,None,12.5
2021-02-18,6.0,75,1,0,Main Course,0,None,14.8
2021-02-19,2.6,91,0,0,Soup,0,None,10.6
2021-02-20,5.2,83,0,0,Main Course,1,Weekend,3.2
2021-02-21,4.3,82,0,1,Soup,1,Weekend,7.5
2021-02-22,6.5,94,1,0,Main Course,0,None,18.5
2021-02-23,1.1,87,1,0,Soup,0,None,11.5
2021-02-24,2.0,74,1,0,Salad,0,None,24.1
2021-02-25,0.6,86,1,0,Dessert,0,None,13.3
2021-02-26,5.0,80,0,1,Main Course,0,None,8.6
2021-02-27,2.4,92,0,0,Salad,1,Weekend,3.7
2021-02-28,5.7,75,0,0,Salad,1,Weekend,7.6
2021-03-01,8.7,70,0,1,Beverage,0,None,18.7
2021-03-02,14.3,63,1,0,Dessert,0,None,6.1
2021-03-03,9.6,60,1,0,Salad,0,None,19.8
2021-03-04,9.4,60,0,0,Appetizer,0,None,12.5
2021-03-05,8.9,83,0,0,Beverage,0,None,5.1
2021-03-06,7.3,81,1,0,Dessert,1,Weekend,2.7
2021-03-07,7.8,61,1,0,Salad,1,Weekend,2.2
2021-03-08,12.2,79,0,1,Dessert,0,None,22.3
2021-03-09,12.4,60,1,0,Salad,0,None,14.8
2021-03-10,7.6,85,1,0,Beverage,0,None,11.5
2021-03-11,7.6,73,0,1,Dessert,0,None,8.3
2021-03-12,14.7,76,0,1,Salad,0,None,6.5
2021-03-13,9.6,82,0,1,Appetizer,1,Weekend,4.9
2021-03-14,9.9,79,1,0,Main Course,1,Weekend,7.4
2021-03-15,9.5,72,0,0,Dessert,0,None,14.4
2021-03-16,8.7,76,1,0,Beverage,0,None,14.1
2021-03-17,11.5,83,0,1,Beverage,0,None,24.1
2021-03-18,7.0,61,0,0,Appetizer,0,None,6.2
2021-03-19,13.1,74,1,0,Beverage,0,None,7.8
2021-03-20,8.5,60,1,0,Soup,1,Weekend,4.5
2021-03-21,7.7,66,0,1,Soup,1,Weekend,5.6
2021-03-22,14.3,61,0,0,Main Course,0,None,15.2
2021-03-23,12.0,72,0,1,Dessert,0,None,8.3
2021-03-24,7.2,82,0,0,Main Course,0,None,10.2
2021-03-25,12.6,80,0,1,Salad,0,None,9.0
2021-03-26,11.3,85,1,0,Salad,0,None,5.0
2021-03-27,7.7,84,0,0,Main Course,1,Weekend,3.2
2021-03-28,12.6,76,0,0,Salad,1,Weekend,2.0
2021-03-29,13.9,70,1,0,Salad,0,None,20.5
2021-03-30,9.3,74,0,0,Soup,0,None,5.3
2021-03-31,11.5,64,0,0,Beverage,0,None,10.5
2021-04-01,7.6,74,1,0,Dessert,0,None,8.3
2021-04-02,9.1,72,1,0,Soup,1,Good Friday,4.7
2021-04-03,9.1,66,0,0,Dessert,1,Weekend,3.8
2021-04-04,12.8,69,0,0,Dessert,1,Weekend,7.2
2021-04-05,13.7,68,1,0,Appetizer,0,None,18.3
2021-04-06,8.9,72,0,0,Dessert,0,None,12.7
2021-04-07,9.4,82,1,0,Main Course,0,None,22.9
