Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2023-01-01,4.0,85,0,1,1,New Year's Day,4.8,7.3,22.4,9.8,10.5,6.2
2023-01-02,2.9,91,0,1,1,New Year's Day (observed),6.2,6.1,20.7,5.3,5.7,8.0
2023-01-03,5.5,74,0,0,0,None,10.0,13.7,32.8,10.4,12.3,15.5
2023-01-04,2.9,82,1,0,0,None,25.0,10.4,30.7,13.6,18.2,15.8
2023-01-05,0.5,71,1,0,0,None,23.7,7.3,39.5,11.3,19.5,14.6
2023-01-06,2.4,72,0,0,0,None,13.6,9.7,25.9,12.4,14.3,13.9
2023-01-07,2.9,90,0,0,1,Weekend,5.9,9.0,24.5,16.9,11.7,8.0
2023-01-08,5.8,71,1,0,1,Weekend,12.4,6.4,33.5,8.0,12.5,9.8
2023-01-09,4.6,83,0,0,0,None,19.3,17.4,54.9,21.4,13.2,16.4
2023-01-10,1.8,84,1,0,0,None,12.6,7.9,33.7,15.7,14.4,12.5
2023-01-11,5.7,78,0,0,0,None,11.8,12.9,55.4,23.8,16.4,16.7
2023-01-12,6.3,84,1,0,0,None,13.9,6.0,21.2,10.4,11.5,15.8
2023-01-13,1.0,88,1,0,0,None,20.8,6.8,22.0,12.1,16.6,10.5
2023-01-14,2.3,72,0,1,1,Weekend,6.0,5.4,31.3,13.4,16.6,12.2
2023-01-15,0.2,76,1,0,1,Weekend,14.1,6.6,33.0,9.4,9.3,11.3
2023-01-16,0.2,75,1,0,0,None,23.5,9.8,41.0,14.3,25.8,20.5
2023-01-17,0.9,95,0,0,0,None,10.8,13.3,28.8,16.2,11.8,11.8
2023-01-18,6.9,95,0,1,0,None,13.5,13.1,47.2,23.0,10.1,17.6
2023-01-19,2.2,78,0,1,0,None,7.9,11.4,21.4,17.0,13.3,11.6
2023-01-20,1.2,90,1,0,0,None,24.0,6.0,29.1,9.9,18.8,13.6
2023-01-21,5.4,81,1,0,1,Weekend,9.4,6.1,17.4,7.8,13.7,11.1
2023-01-22,3.6,94,1,0,1,Weekend,9.3,5.4,26.3,14.0,12.3,11.3
2023-01-23,5.3,81,0,0,0,None,16.9,15.4,33.1,18.8,14.0,18.2
2023-01-24,3.4,86,0,0,0,None,13.8,9.7,39.2,14.5,10.8,16.3
2023-01-25,4.2,79,0,0,0,None,15.0,11.0,44.3,13.3,11.0,21.2
2023-01-26,5.8,70,0,1,0,None,8.8,10.2,21.8,17.3,10.5,10.4
2023-01-27,5.2,93,1,0,0,None,13.3,9.1,29.4,15.8,17.0,15.3
2023-01-28,6.1,79,0,1,1,Weekend,9.1,9.0,32.1,10.4,16.6,11.3
2023-01-29,2.6,78,0,1,1,Weekend,8.0,5.6,30.5,13.3,10.3,9.3
2023-01-30,2.2,74,0,1,0,None,17.4,15.6,34.8,16.0,16.5,22.8
2023-01-31,6.0,92,1,0,0,None,22.5,8.7,25.4,14.1,13.9,16.5
2023-02-01,1.3,83,0,0,0,None,14.8,17.5,43.0,23.0,14.2,20.3
2023-02-02,0.2,71,1,0,0,None,24.8,8.7,32.7,15.6,17.2,15.1
2023-02-03,0.6,78,0,1,0,None,10.8,9.7,35.7,15.3,10.2,11.3
2023-02-04,2.8,86,0,1,1,Weekend,9.2,6.1,24.1,13.3,8.9,10.3
2023-02-05,6.7,89,1,0,1,Weekend,13.4,5.6,31.4,11.9,10.8,8.9
2023-02-06,5.7,94,0,1,0,None,17.0,15.2,34.7,14.1,12.1,22.6
2023-02-07,3.6,87,0,1,0,None,12.4,7.6,33.7,14.9,14.7,11.1
2023-02-08,0.6,72,0,0,0,None,16.0,17.9,46.7,23.1,13.5,23.1
2023-02-09,0.7,88,1,0,0,None,15.7,9.2,30.6,13.9,18.6,11.2
2023-02-10,1.6,85,0,0,0,None,12.0,9.1,30.5,11.1,8.8,11.7
2023-02-11,1.6,83,1,0,1,Weekend,14.3,5.6,33.5,7.8,12.7,8.4
2023-02-12,2.6,89,1,0,1,Weekend,10.4,3.8,27.4,13.7,8.6,8.2
2023-02-13,1.1,76,1,0,0,None,26.3,7.8,52.0,11.6,16.6,20.8
2023-02-14,1.4,89,1,0,0,None,16.4,6.5,36.2,10.1,10.9,17.5
2023-02-15,4.2,79,1,0,0,None,29.3,11.3,31.7,12.6,15.9,18.2
2023-02-16,3.2,79,0,0,0,None,11.4,14.3,30.4,17.5,10.6,16.9
2023-02-17,0.4,92,0,0,0,None,14.2,14.1,22.6,12.9,7.9,16.5
2023-02-18,1.9,78,0,0,1,Weekend,7.4,6.2,24.0,10.2,14.6,10.5
2023-02-19,1.1,74,1,0,1,Weekend,9.4,5.4,17.3,11.8,9.3,11.9
2023-02-20,2.2,75,0,1,0,None,10.5,10.1,54.4,21.4,13.3,14.5
2023-02-21,2.2,93,0,0,0,None,11.0,14.6,22.3,10.2,11.7,13.3
2023-02-22,1.0,72,1,0,0,None,22.6,11.9,52.8,19.8,20.1,25.9
2023-02-23,0.5,91,1,0,0,None,13.2,6.1,28.8,8.9,18.6,13.2
2023-02-24,6.7,83,0,1,0,None,15.0,12.1,27.8,11.2,14.9,19.2
2023-02-25,0.0,88,0,1,1,Weekend,5.5,7.2,32.2,12.8,9.0,9.4
2023-02-26,0.9,72,0,1,1,Weekend,5.8,9.7,24.5,13.3,11.1,10.3
2023-02-27,5.7,77,0,1,0,None,19.0,17.9,41.7,19.3,14.8,16.2
2023-02-28,2.9,70,0,0,0,None,9.0,9.4,26.1,13.8,14.6,16.6
2023-03-01,10.4,81,0,1,0,None,11.3,12.8,42.6,25.2,16.8,12.3
2023-03-02,7.0,74,0,1,0,None,11.8,9.2,30.8,15.9,10.6,15.4
2023-03-03,8.6,75,0,1,0,None,9.7,8.1,23.9,19.5,9.8,15.2
2023-03-04,12.1,65,0,0,1,Weekend,5.5,6.6,30.7,13.6,11.6,5.2
2023-03-05,14.1,77,0,0,1,Weekend,9.7,7.4,27.3,10.6,12.2,7.3
2023-03-06,12.0,80,1,0,0,None,29.8,10.1,54.5,20.4,14.6,11.3
2023-03-07,14.0,80,0,1,0,None,11.8,12.6,31.3,17.2,9.8,8.8
2023-03-08,7.0,74,1,0,0,None,21.9,12.9,45.1,18.7,24.7,25.4
2023-03-09,9.4,83,0,1,0,None,13.0,8.9,26.6,15.8,9.0,12.8
2023-03-10,10.1,77,1,0,0,None,18.9,10.8,30.8,12.3,10.4,8.6
2023-03-11,14.1,74,0,0,1,Weekend,6.0,5.5,24.1,15.3,14.8,6.0
2023-03-12,12.3,81,0,0,1,Weekend,10.0,6.3,17.3,17.9,13.3,6.7
2023-03-13,14.8,75,0,1,0,None,17.2,10.9,33.6,21.3,10.1,16.1
2023-03-14,8.9,82,0,0,0,None,7.7,10.8,21.2,16.8,9.8,10.9
2023-03-15,14.7,84,1,0,0,None,21.7,12.4,57.0,18.8,17.4,10.4
2023-03-16,11.5,84,0,0,0,None,14.9,10.2,33.2,12.4,13.5,10.5
2023-03-17,8.3,83,1,0,0,None,12.7,9.3,23.5,15.0,18.7,19.1
