Date,Temperature,Humidity,Is_Raining,Is_Sunny,Food_Category,Is_Holiday,Holiday_Name,Food_Waste_kg
2022-01-01,0.3,79,0,1,Main Course,1,New Year's Day,3.0
2022-01-02,5.7,79,0,0,Salad,1,Weekend,6.5
2022-01-03,6.1,80,1,0,Salad,1,New Year's Day (observed),6.8
2022-01-04,4.3,70,1,0,Soup,0,None,7.5
2022-01-05,2.2,86,0,0,Appetizer,0,None,24.7
2022-01-06,1.7,85,0,0,Beverage,0,None,8.5
2022-01-07,4.4,73,1,0,Salad,0,None,13.4
2022-01-08,0.5,80,0,1,Main Course,1,Weekend,7.9
2022-01-09,2.1,72,0,1,Salad,1,Weekend,3.9
2022-01-10,0.2,85,0,1,Dessert,0,None,23.4
2022-01-11,7.0,90,1,0,Appetizer,0,None,10.0
2022-01-12,6.7,91,0,0,Dessert,0,None,16.0
2022-01-13,5.6,73,0,1,Dessert,0,None,8.1
2022-01-14,6.6,71,0,1,Appetizer,0,None,5.8
2022-01-15,1.5,85,1,0,Beverage,1,Weekend,2.2
2022-01-16,7.0,90,0,1,Salad,1,Weekend,6.7
2022-01-17,1.1,87,0,1,Dessert,0,None,19.0
2022-01-18,4.7,74,0,1,Soup,0,None,13.1
2022-01-19,2.6,78,1,0,Dessert,0,None,16.5
2022-01-20,6.0,71,0,0,Soup,0,None,9.8
2022-01-21,1.1,77,0,0,Appetizer,0,None,5.7
2022-01-22,2.4,90,0,0,Appetizer,1,Weekend,2.3
2022-01-23,5.1,77,0,0,Salad,1,Weekend,4.8
2022-01-24,4.7,79,0,0,Soup,0,None,10.7
2022-01-25,2.2,92,0,1,Dessert,0,None,11.1
2022-01-26,0.6,71,1,0,Beverage,0,None,18.4
2022-01-27,4.4,91,0,1,Main Course,0,None,6.1
2022-01-28,6.6,92,1,0,Appetizer,0,None,10.9
2022-01-29,4.9,93,0,0,Dessert,1,Weekend,7.7
2022-01-30,1.9,93,1,0,Dessert,1,Weekend,7.4
2022-01-31,3.4,93,0,1,Appetizer,0,None,16.8
2022-02-01,4.9,73,0,1,Dessert,0,None,13.9
2022-02-02,4.2,80,0,0,Dessert,0,None,11.5
2022-02-03,6.7,70,1,0,Salad,0,None,10.3
2022-02-04,2.7,93,0,0,Soup,0,None,14.0
2022-02-05,3.3,94,0,1,Soup,1,Weekend,3.3
2022-02-06,6.4,73,0,1,Main Course,1,Weekend,2.8
2022-02-07,6.2,94,1,0,Soup,0,None,17.3
2022-02-08,6.1,80,1,0,Beverage,0,None,5.7
2022-02-09,4.0,75,0,1,Soup,0,None,16.0
2022-02-10,2.4,95,0,0,Dessert,0,None,7.7
2022-02-11,1.4,80,0,1,Soup,0,None,9.1
2022-02-12,1.8,81,1,0,Beverage,1,Weekend,7.7
2022-02-13,5.7,70,1,0,Salad,1,Weekend,2.1
2022-02-14,4.5,86,1,0,Main Course,0,None,17.4
2022-02-15,6.4,79,0,0,Appetizer,0,None,7.8
