Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2023-01-01,6.4,78,0,1,1,New Year's Day,7.3,6.4,18.0,11.7,10.0,6.0
2023-01-02,3.0,91,0,0,1,New Year's Day (observed),5.0,5.3,15.9,5.8,6.5,5.7
2023-01-03,3.4,95,0,1,0,None,14.4,8.6,25.2,11.7,8.6,13.2
2023-01-04,3.2,86,0,0,0,None,12.4,14.0,44.0,16.7,10.6,14.3
2023-01-05,4.1,88,0,1,0,None,10.6,12.7,33.3,14.7,14.6,17.7
2023-01-06,5.0,87,0,1,0,None,14.1,9.5,34.4,17.3,8.0,15.6
2023-01-07,5.3,77,1,0,1,Weekend,15.1,6.9,25.4,13.7,9.3,13.1
2023-01-08,2.4,80,0,0,1,Weekend,7.1,5.9,28.9,17.8,13.0,7.6
2023-01-09,6.3,81,1,0,0,None,19.0,7.5,48.3,19.5,15.9,19.6
2023-01-10,5.9,83,0,1,0,None,13.6,11.8,34.2,14.8,11.7,10.1
2023-01-11,1.2,88,0,0,0,None,11.7,16.8,33.1,23.7,13.9,22.1
2023-01-12,0.9,77,0,1,0,None,9.7,12.7,30.8,15.9,10.0,15.1
2023-01-13,1.9,94,1,0,0,None,12.6,8.3,20.0,11.1,19.2,18.3
2023-01-14,4.9,81,1,0,1,Weekend,9.5,6.4,22.3,12.7,13.1,12.8
2023-01-15,5.6,83,0,0,1,Weekend,8.6,9.1,32.6,17.0,14.7,9.6
2023-01-16,2.6,72,0,1,0,None,12.7,16.6,32.9,23.3,19.1,15.5
2023-01-17,2.1,73,0,1,0,None,9.7,11.7,27.0,15.5,12.6,14.2
2023-01-18,1.5,75,1,0,0,None,22.7,9.7,37.7,11.6,25.6,13.6
2023-01-19,0.5,71,1,0,0,None,24.5,9.7,34.9,11.7,19.4,18.0
2023-01-20,4.5,81,0,0,0,None,13.9,11.4,30.1,15.7,10.9,18.0
2023-01-21,1.4,89,1,0,1,Weekend,17.1,4.0,26.3,7.6,12.9,12.9
2023-01-22,2.5,84,0,0,1,Weekend,5.3,7.0,24.1,17.4,14.9,9.4
2023-01-23,4.9,87,1,0,0,None,26.1,11.4,45.2,19.6,17.6,19.8
2023-01-24,5.0,75,0,0,0,None,11.2,14.4,31.3,14.7,11.0,19.9
2023-01-25,6.3,78,0,1,0,None,13.1,15.1,51.8,20.9,14.9,23.8
2023-01-26,2.3,89,0,1,0,None,9.2,12.6,22.9,20.0,9.0,12.7
2023-01-27,3.4,89,0,1,0,None,13.2,14.3,32.9,14.9,10.3,11.5
2023-01-28,6.8,81,0,1,1,Weekend,8.3,9.2,33.3,14.2,10.1,9.8
2023-01-29,6.5,72,0,1,1,Weekend,6.8,7.0,18.6,15.2,11.2,12.1
2023-01-30,2.1,83,1,0,0,None,20.4,10.1,45.8,10.7,25.2,25.4
2023-01-31,2.9,93,0,0,0,None,9.2,8.6,23.4,13.6,13.7,12.2
2023-02-01,1.4,88,1,0,0,None,16.7,7.2,52.0,14.1,25.9,23.7
2023-02-02,0.7,95,0,1,0,None,7.8,7.9,28.2,14.1,9.9,11.7
