Date,Temperature,Humidity,Is_Raining,Is_Sunny,Food_Category,Is_Holiday,Holiday_Name,Food_Waste_kg
2023-01-01,5.8,83,1,0,Dessert,1,New Year's Day,0.6
2023-01-02,3.2,92,0,1,Dessert,1,New Year's Day (observed),0.9
2023-01-03,5.9,71,0,0,Salad,0,None,11.1
2023-01-04,2.1,74,0,1,Salad,0,None,19.4
2023-01-05,2.8,78,0,0,Soup,0,None,12.5
2023-01-06,0.1,77,1,0,Appetizer,0,None,11.7
2023-01-07,3.9,90,1,0,Appetizer,1,Weekend,2.8
2023-01-08,5.6,70,0,0,Beverage,1,Weekend,4.2
2023-01-09,4.5,77,0,1,Dessert,0,None,15.9
2023-01-10,3.1,71,0,1,Soup,0,None,11.5
2023-01-11,0.1,80,0,0,Main Course,0,None,11.4
2023-01-12,5.1,72,1,0,Dessert,0,None,5.4
2023-01-13,6.9,95,1,0,Soup,0,None,9.5
2023-01-14,5.2,88,0,1,Main Course,1,Weekend,7.4
2023-01-15,0.2,85,0,0,Appetizer,1,Weekend,5.8
2023-01-16,4.8,80,1,0,Dessert,0,None,13.8
2023-01-17,0.8,82,0,0,Soup,0,None,10.4
2023-01-18,5.1,84,1,0,Appetizer,0,None,16.5
2023-01-19,2.2,86,0,0,Beverage,0,None,8.7
2023-01-20,1.4,79,0,1,Appetizer,0,None,8.0
2023-01-21,3.6,73,0,0,Dessert,1,Weekend,4.8
2023-01-22,0.7,86,0,1,Main Course,1,Weekend,5.4
2023-01-23,0.7,75,0,1,Beverage,0,None,16.1
2023-01-24,6.5,81,1,0,Soup,0,None,11.9
2023-01-25,0.2,91,0,0,Soup,0,None,24.3
2023-01-26,0.3,74,0,1,Main Course,0,None,6.7
2023-01-27,2.4,93,1,0,Salad,0,None,6.3
2023-01-28,5.6,78,1,0,Salad,1,Weekend,7.8
2023-01-29,1.0,86,1,0,Appetizer,1,Weekend,2.9
2023-01-30,3.6,93,0,0,Appetizer,0,None,22.7
2023-01-31,3.0,87,1,0,Soup,0,None,13.0
2023-02-01,2.6,70,0,1,Salad,0,None,20.2
2023-02-02,2.2,95,0,0,Beverage,0,None,5.2
2023-02-03,5.1,93,0,1,Soup,0,None,10.9
2023-02-04,4.3,89,0,1,Main Course,1,Weekend,4.8
2023-02-05,5.5,73,0,1,Appetizer,1,Weekend,7.9
2023-02-06,0.1,90,0,0,Soup,0,None,20.0
2023-02-07,6.6,81,1,0,Salad,0,None,13.3
2023-02-08,3.0,81,0,1,Dessert,0,None,15.5
2023-02-09,3.8,84,0,1,Appetizer,0,None,14.1
2023-02-10,3.5,95,0,0,Appetizer,0,None,5.4
2023-02-11,2.5,91,1,0,Main Course,1,Weekend,4.1
2023-02-12,1.5,74,0,0,Beverage,1,Weekend,6.6
2023-02-13,6.6,72,1,0,Beverage,0,None,14.8
2023-02-14,1.3,79,0,0,Beverage,0,None,10.9
2023-02-15,1.1,95,0,0,Dessert,0,None,24.9
2023-02-16,4.8,78,1,0,Dessert,0,None,12.8
2023-02-17,3.9,79,0,0,Soup,0,None,9.6
2023-02-18,1.2,78,0,0,Appetizer,1,Weekend,6.5
2023-02-19,1.2,90,1,0,Soup,1,Weekend,2.8
2023-02-20,5.1,70,0,1,Salad,0,None,23.4
2023-02-21,3.2,70,0,1,Dessert,0,None,14.8
2023-02-22,6.1,95,1,0,Dessert,0,None,14.1
2023-02-23,3.2,70,0,1,Salad,0,None,7.1
2023-02-24,4.8,92,0,0,Soup,0,None,13.7
2023-02-25,5.1,87,1,0,Beverage,1,Weekend,7.6
2023-02-26,3.7,74,0,0,Appetizer,1,Weekend,7.5
2023-02-27,2.0,88,1,0,Dessert,0,None,14.9
2023-02-28,4.8,76,1,0,Salad,0,None,9.0
2023-03-01,14.5,65,0,1,Beverage,0,None,23.7
2023-03-02,9.8,80,0,0,Soup,0,None,12.0
