Date,Temperature,Humidity,Is_Raining,Is_Sunny,Is_Holiday,Holiday_Name,Dessert_Waste_kg,Soup_Waste_kg,Main Course_Waste_kg,Appetizer_Waste_kg,Salad_Waste_kg,Beverage_Waste_kg
2023-01-01,4.4,79,0,1,1,New Year's Day,6.7,6.2,21.7,7.5,8.8,7.0
2023-01-02,6.8,83,0,1,1,New Year's Day (observed),6.2,5.1,21.5,6.0,4.4,9.1
2023-01-03,2.8,77,1,0,0,None,20.0,7.8,25.7,14.4,13.0,19.8
2023-01-04,4.0,85,0,0,0,None,19.1,18.4,41.7,14.3,14.2,16.0
2023-01-05,2.9,94,0,0,0,None,12.3,13.2,34.0,16.2,11.5,15.9
2023-01-06,3.0,93,0,1,0,None,9.6,9.8,36.7,11.2,10.5,10.6
2023-01-07,6.9,79,0,0,1,Weekend,8.9,6.2,31.2,12.1,10.3,10.1
2023-01-08,4.7,92,0,0,1,Weekend,6.3,8.6,21.5,11.5,15.6,11.6
2023-01-09,5.7,78,0,0,0,None,12.8,16.3,37.0,23.0,17.5,23.9
2023-01-10,0.8,70,1,0,0,None,21.5,6.4,29.3,8.0,16.3,18.4
2023-01-11,2.4,77,0,1,0,None,15.3,16.2,49.6,16.5,14.7,14.6
2023-01-12,6.7,79,1,0,0,None,12.9,5.6,34.0,8.7,15.1,18.5
2023-01-13,0.7,70,0,0,0,None,10.0,10.9,38.7,11.7,11.1,10.2
2023-01-14,2.7,87,0,1,1,Weekend,7.5,9.5,33.2,12.2,14.1,7.3
2023-01-15,4.0,95,1,0,1,Weekend,10.0,4.1,24.7,13.1,9.4,11.5
2023-01-16,3.1,83,1,0,0,None,29.7,6.9,48.5,18.1,15.3,17.7
2023-01-17,5.8,78,0,1,0,None,12.5,13.9,35.1,17.6,12.2,15.1
2023-01-18,2.5,78,1,0,0,None,20.7,8.8,50.9,13.3,15.1,20.0
2023-01-19,1.1,80,0,0,0,None,12.9,12.3,34.7,12.1,8.8,11.0
2023-01-20,3.3,88,1,0,0,None,13.8,7.4,30.5,15.5,11.9,16.9
2023-01-21,6.8,72,1,0,1,Weekend,11.6,6.7,26.5,10.2,8.5,11.2
2023-01-22,0.2,81,1,0,1,Weekend,11.0,5.5,28.7,12.1,8.3,9.1
2023-01-23,2.5,79,1,0,0,None,26.3,10.7,54.2,13.2,19.0,18.2
2023-01-24,3.1,92,1,0,0,None,18.6,5.4,29.1,14.9,16.5,17.0
2023-01-25,5.6,91,1,0,0,None,30.0,10.5,46.4,17.7,25.7,18.2
2023-01-26,2.5,93,0,0,0,None,7.9,12.1,26.4,18.8,9.8,15.4
2023-01-27,1.2,82,1,0,0,None,20.4,7.7,26.2,10.2,13.2,12.9
2023-01-28,5.7,70,0,0,1,Weekend,8.2,7.6,20.6,17.0,17.2,8.3
2023-01-29,0.3,83,1,0,1,Weekend,13.8,4.0,23.6,12.8,8.8,7.5
2023-01-30,0.5,81,1,0,0,None,31.8,7.1,46.2,16.9,23.1,14.0
2023-01-31,3.2,82,0,1,0,None,8.8,14.1,22.7,12.6,11.4,10.8
2023-02-01,2.7,82,1,0,0,None,23.0,9.1,30.1,12.0,22.9,19.0
2023-02-02,0.5,77,0,0,0,None,9.3,10.8,20.8,10.1,10.8,14.9
2023-02-03,5.2,71,0,0,0,None,12.8,9.2,26.1,17.7,7.6,14.6
2023-02-04,3.6,85,0,0,1,Weekend,5.6,8.7,23.2,17.4,14.9,9.6
2023-02-05,7.0,73,1,0,1,Weekend,13.1,5.5,27.4,12.0,13.7,10.2
2023-02-06,4.3,92,1,0,0,None,16.8,10.6,43.4,20.3,18.5,15.6
2023-02-07,1.3,81,0,0,0,None,9.6,14.6,24.6,16.2,9.3,18.8
